Review,Sentiment_analysis,Confidence
宣传的书本厚度严重缩水!!,Negative,0.9995552897453308
很好！孩子喜欢！大赞一个,Positive,0.999987006187439
很好,Positive,0.9841501116752625
首先，快递师傅的工作热情和态度很好，其次东西包装完好。先给好评。不错。,Positive,0.9999080896377563
一本字典大小，买来当作参考书用，喜欢。随时查。有些东西书店买不到，网上可以买到。希望自己能用的着。工作路还长，一切希望能走的更远，更好。2017，加油。,Positive,0.999976634979248
方便携带，平时翻翻，随时学习。,Positive,0.9999679327011108
不错，书店找不到，还是网店方便，好好学习天天向上,Positive,0.9823681712150574
很好啊，质量很好，上班几年了，有空时多学习一下！,Positive,0.9998800754547119
封皮颜色看起来怪怪的，喜欢原有的第七版的设计,Positive,0.9998088479042053
像字典那么大，内容比较全面。,Positive,0.9999548196792603
剛收到，小哥送貨快，挺滿意的，,Positive,0.9999548196792603
物流很快，正品行货，满意！,Positive,0.9994494318962097
京东物流太速度了，买这本书就是因为小，带着方便,Positive,0.999932050704956
打包一看封面掉漆，沾贴不正，象不是正规厂家出版的，内容有待确认。,Negative,0.9998308420181274
双11在京东给宝宝买了太多的书，满减过后的价格非常美丽，印刷的质量也很好，小家伙现在每晚都要一个故事才肯乖乖睡觉。,Positive,0.9999529123306274
东西好的没话说，下次还买，一如既往的支持东西好的没话说，下次还买，一如既往的支持东西好的没话说，下次还买，一如既往的支持,Positive,0.9999806880950928
给娃囤的，6个月娃只会啃，没有什么耐心听故事，长牙阶段太闹腾。,Negative,0.999968409538269
内容经典，娃爱不释手，要讲好多遍，活动期购买超级划算,Positive,0.9999818801879883
京东活动真多啊，又买了好多好多，绘本不嫌多。,Positive,0.9996058344841003
金羽毛这系列书都不错，适合大一点的小朋友，先买来收藏着，搞活动买也十分优惠，包装的很好！,Positive,0.9859516620635986
jd的书一两个月就要购入很多本绘本选择很多,Positive,0.9954084753990173
给小孩买的陪着小孩一起阅读希望他也爱上读书,Positive,0.9999734163284302
还不错吧，值得购买。。。。。。。。。,Positive,0.9982342720031738
商品符合预期，京东物流给力。,Positive,0.9999774694442749
好书替象棋大师买的信任京东就是快,Positive,0.999987006187439
很不错适合孩子上小学前放假使用,Positive,0.9996484518051147
非常好，很适合用，下次再来，很有建设性，希望大卖？,Positive,0.9999794960021973
一直在京东买东西的，很不错,Positive,0.9999799728393555
京东速度就是快，小朋友可以练起来了。,Positive,0.999987006187439
挺好的书，很多人建议这本书呦,Positive,0.9965137839317322
小朋友很喜欢,Positive,0.9999297857284546
推荐好书,Positive,0.985577404499054
不错,Positive,0.8966488242149353
书不错，值得一看。,Positive,0.9633516669273376
618活动全场200-100，还是挺划算的，帮同事买的书。,Positive,0.9999500513076782
此用户未填写评价内容,Negative,0.9995953440666199
"一本好书。宝贝已经收到了，真的是物有所值非常的满意。卖家的服务态度很好发货速度也很快，包裹的严严实实没有任何破损。快递小哥送货速度快，总体来说是一次愉快的购物呀，下次有需要还会再来买买买！与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。",Positive,0.9999139308929443
塑封包装，商品完好。看纸质印刷，应该是正版。内容实用，值得购买。,Positive,0.9969141483306885
这本书涉及实体建模、线性精力分析、接触分析、弹塑性分析、热应力分析、多体分析、动态分析等，既适合ABAQUS初学者和中级用户，也为ABAQUS高级用户提供了有用的参考,Positive,0.9998934268951416
没有光盘和数据文件，可操作性不好,Negative,0.9998772144317627
作者通过自己的劳动，让我们这些初入门的软件用户可以更方便直接的了解和掌握abaqus的详细设置，争取把全套集齐～,Positive,0.9995962977409363
有参考价值。翻译的比较生硬。,Positive,0.9981777667999268
不错呢，有光盘供学习的。,Positive,0.9999052286148071
东西还不错，唯一的遗憾不是彩印的！双十二物流有点慢，可以理解。,Positive,0.9997703433036804
我每个月林林总总要买很多东西，如果逐一评价我会很崩溃，所以特别制作一下模版，当你看到这段话的时候，说明我对此产品很是满意，后来者可以放心大胆的购买，当然我并非一个不负责任的买家，如果产品不好，我也会花一番功夫来好好评论番的！,Positive,0.9999819993972778
"宝贝已经收到了，真的是物有所值非常的满意。卖家的服务态度很好发货速度也很快，包裹的严严实实没有任何破损。快递小哥送货速度快，总体来说是一次愉快的购物呀，下次有需要还会再来买买买！与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。",Positive,0.9999656677246094
在听钟老师烦闷的时候用段老师激情的声音解解闷还是可以的,Positive,0.9999698400497437
单位集体下单购买，100多本书，第二天就到了，没有错误，很好很方便,Positive,0.9995310306549072
单位集体下单购买，100多本书，第二天就到了，没有错误，很好很方便,Positive,0.9995310306549072
单位集体下单购买，100多本书，第二天就到了，没有错误，很好很方便,Positive,0.9995310306549072
单位集体下单购买，100多本书，第二天就到了，没有错误，很好很方便,Positive,0.9995310306549072
相信高甲，希望物有所值吧，包装都快散架了，快递速度还行，西安仓发出的，不过同一单下的，北京来的快递比书还快一天，但是比普通快递快多了，辛苦快递员了,Positive,0.9679701924324036
京东服务好，购物方便，书正在用着，很好实用，满意。,Positive,0.9955077171325684
京东服务好，购物方便，书正在用着，很好实用，满意。,Positive,0.9955077171325684
真的很有用，不仅是司法考试，对公务员考试也很有帮助,Positive,0.9997410178184509
真题解析。。。不知道哪个刑诉老师解析最好，希望物有所值吧，包装都快散架了，盒子都破了，快递速度还行，西安仓发出的，不过同一单下的，北京来的快递比书还快一天，但是比普通快递快多了，辛苦快递员了,Negative,0.8404772281646729
特别好，很详细，推荐购买！,Positive,0.9999216794967651
16年1版1印，书就是个噱头，跟李大师估计没啥关系，所谓的6666套限量就是个玩笑。节选本没啥意思，还是买中华书局的全本研读吧。,Negative,0.9999419450759888
书很好，价格也实惠，而且选材独特，与一般选本并不重合。购书只选京东,Positive,0.9998258948326111
正版图书，折扣价格合理。,Positive,0.9999648332595825
还可以。发货很快。好评,Positive,0.9820886254310608
东西很好，十分的喜欢,Positive,0.9998689889907837
配送还可以，书质量好，大概翻了下，是自己想要的!,Positive,0.7819175720214844
商品质量好，正品保障，配送特别快，服务态度也很好！,Positive,0.9999772310256958
不错，看起来是正版，满意,Positive,0.9997583031654358
不必要买的书，与李敖木有关系好不好,Negative,0.9999650716781616
剛剛開始看，但是看著還不錯，慢慢閱讀，期待更好,Positive,0.9999845027923584
暑期图书各种活动，捡大便宜了！？京东搞活动开心伤钱包啊！！！,Positive,0.9999362230300903
总是要买的，京东是个理想选择！,Positive,0.9999769926071167
红红火火恍恍惚惚呵呵哈哈哈,Positive,0.9999798536300659
质优价廉，非常满意，好评,Positive,0.9991735816001892
不错，质量好，非常满意,Positive,0.9079890251159668
一直喜欢有视频的书,Positive,0.9997759461402893
提前为新学期做好准备，假期可以自学一下，印刷质量和内容都不错。,Positive,0.9963800311088562
非常满意,Positive,0.9898847341537476
不错不错，书挺好的啊！！！,Positive,0.7458703517913818
看着包装就不错，物流更是一如既往的好!,Positive,0.9999655485153198
印刷纸张都很满意，希望宝宝能喜欢,Positive,0.9996817111968994
非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。,Positive,0.9999768733978271
可能是比较抢手的书，需要从外地调，所以快递慢了一点。,Positive,0.9834935665130615
太贵了，我还以为典藏版是精装的，结果不是，那为什么叫典藏版呢？平装的，定价太可怕了,Negative,0.9801458716392517
在京东买了很多书，囤起来慢慢读。,Positive,0.9999819993972778
还可以，还可以，还可以！,Positive,0.9966214895248413
不错的东西啊,Positive,0.9927430152893066
书不是全本，节选的人物传记。阅读没有障碍，排版可以，纸张一般。总体评价四星半，给个五星。,Positive,0.9999501705169678
让孩子复习用的，比书店便宜，主要是，物流给力，快递快递员服务好。,Positive,0.9999645948410034
让孩子复习用的，比书店便宜，主要是，物流给力，快递快递员服务好。,Positive,0.9999645948410034
不错，备课用，案例挺长的，全是比较新鲜，晒个目录,Positive,0.9999791383743286
呃，还是一样的套路，建议买教学案例那本,Positive,0.5902299284934998
书编写很好，方便查询，还包括大事记，开阔视野,Positive,0.9992489218711853
第一次上《思想道德修养与法律基础》课，买回来参考一下，内容很有启发，不错的一本参考书。只不过平台让报税号，开得还是老式发票，这下报销困难了，希望尽快改进。,Positive,0.9930607080459595
书的质感不错，配套使用，京东自营送货就是快，每次着急用什么第一时间就选择京东自营，从未失望！,Positive,0.9999837875366211
书非常不错，东西多又好玩，一切都不错。,Positive,0.9996088147163391
